time,profit
09/30/2021,35.174
12/31/2021,54.243
03/31/2022,42.559
06/30/2022,35.885
09/30/2022,38.095
12/31/2022,50.332
03/31/2023,41.976
06/30/2023,36.413
09/30/2023,40.427
