time,revenue
09/30/2021,83.36
12/31/2021,123.945
03/31/2022,97.278
06/30/2022,82.959
09/30/2022,90.146
12/31/2022,117.154
03/31/2023,94.836
06/30/2023,81.797
09/30/2023,89.498
