date,value
2021/9/30,47.882
2021/12/31,54.577
2022/3/31,49.945
2022/6/30,54.81
2022/9/30,56.833
2022/12/31,63.564
2023/3/31,59.567
2023/6/30,65.01
2023/9/30,68.061
