date,value
2021/9/30,31.671
2021/12/31,34.768
2022/3/31,33.745
2022/6/30,35.436
2022/9/30,34.67
2022/12/31,35.259
2023/3/31,36.729
2023/6/30,39.394
2023/9/30,40.215
