date,value
2021/9/30,37.497
2021/12/31,42.337
2022/3/31,38.412
2022/6/30,39.581
2022/9/30,37.934
2022/12/31,40.706
2023/3/31,39.175
2023/6/30,42.688
2023/9/30,43.464
