date,value
2021/9/30,29.01
2021/12/31,33.671
2022/3/31,27.908
2022/6/30,28.822
2022/9/30,27.714
2022/12/31,32.165
2023/3/31,28.645
2023/6/30,31.999
2023/9/30,34.146
