Date,Open,High,Low,Close,Adj Close,Volume
2023-10-17,440.0,447.5400085449219,424.79998779296875,439.3800048828125,439.3800048828125,81233300
2023-10-18,425.9100036621094,432.19000244140625,418.25,421.9599914550781,421.9599914550781,62729400
2023-10-19,428.1099853515625,432.9700012207031,418.82000732421875,421.010009765625,421.010009765625,50123300
2023-10-20,418.8999938964844,424.70001220703125,410.7799987792969,413.8699951171875,413.8699951171875,47638100
2023-10-23,412.2900085449219,432.4800109863281,409.45001220703125,429.75,429.75,47853000
2023-10-24,430.7699890136719,436.9700012207031,426.9100036621094,436.6300048828125,436.6300048828125,40146300
2023-10-25,433.9800109863281,436.5,415.54998779296875,417.7900085449219,417.7900085449219,39837900
2023-10-26,418.5299987792969,422.55999755859375,398.79998779296875,403.260009765625,403.260009765625,54100100
2023-10-27,411.29998779296875,412.05999755859375,400.1499938964844,405.0,405.0,41678400
2023-10-30,410.8699951171875,417.6600036621094,404.80999755859375,411.6099853515625,411.6099853515625,38802800
2023-10-31,404.5,408.7900085449219,392.29998779296875,407.79998779296875,407.79998779296875,51796900
2023-11-01,408.8399963378906,423.80999755859375,408.69000244140625,423.25,423.25,43759300
2023-11-02,433.2799987792969,438.8399963378906,428.94000244140625,435.05999755859375,435.05999755859375,40917200
2023-11-03,440.20001220703125,453.0899963378906,437.2300109863281,450.04998779296875,450.04998779296875,42385500
2023-11-06,452.8500061035156,459.3500061035156,448.989990234375,457.510009765625,457.510009765625,40073300
2023-11-07,457.19000244140625,462.17999267578125,451.5799865722656,459.54998779296875,459.54998779296875,34316500
2023-11-08,461.0,468.6700134277344,459.67999267578125,465.739990234375,465.739990234375,34671900
2023-11-09,474.6700134277344,482.29998779296875,467.5,469.5,469.5,54049600
2023-11-10,475.0,484.7200012207031,472.8299865722656,483.3500061035156,483.3500061035156,42124500
2023-11-13,483.20001220703125,491.1600036621094,480.989990234375,486.20001220703125,486.20001220703125,38413600
2023-11-14,496.79998779296875,498.3399963378906,490.3999938964844,496.55999755859375,496.55999755859375,41695400
2023-11-15,499.3500061035156,499.6000061035156,482.0,488.8800048828125,488.8800048828125,47549700
2023-11-16,486.7900085449219,495.25,483.29998779296875,494.79998779296875,494.79998779296875,33975600
2023-11-17,495.239990234375,497.1700134277344,490.07000732421875,492.9800109863281,492.9800109863281,32520500
